NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.037461534	Yes	
row_1	ESPL1	na	75	0.5491422414779663	0.076342985	Yes	
row_2	HFM1	na	80	0.541456401348114	0.11509972	Yes	
row_3	TTK	na	127	0.5102046132087708	0.14935765	Yes	
row_4	MEIOC	na	154	0.4974408745765686	0.1837681	Yes	
row_5	RNF212	na	197	0.47865647077560425	0.2159696	Yes	
row_6	BUB1	na	277	0.4511987864971161	0.24421318	Yes	
row_7	EME1	na	281	0.45057761669158936	0.27648255	Yes	
row_8	MAJIN	na	295	0.44717392325401306	0.30797133	Yes	
row_9	TRIP13	na	438	0.4137066900730133	0.33014223	Yes	
row_10	TEX15	na	483	0.4043155014514923	0.35688597	Yes	
row_11	SMC4	na	610	0.38112667202949524	0.37756887	Yes	
row_12	NCAPH	na	645	0.37522268295288086	0.40275428	Yes	
row_13	CCDC155	na	762	0.3572874665260315	0.42225698	Yes	
row_14	SYCP2	na	844	0.3467279076576233	0.4428742	Yes	
row_15	CCDC36	na	933	0.33718207478523254	0.46242946	Yes	
row_16	NUF2	na	949	0.33584436774253845	0.48579827	Yes	
row_17	SGO1	na	1038	0.3264634311199188	0.50458205	Yes	
row_18	FANCD2	na	1095	0.3194115459918976	0.5245722	Yes	
row_19	MLH1	na	1145	0.31355875730514526	0.54451597	Yes	
row_20	PLK1	na	1226	0.3057837188243866	0.5622399	Yes	
row_21	SYCE2	na	1509	0.27810826897621155	0.56715286	Yes	
row_22	BUB1B	na	1616	0.2691003978252411	0.580844	Yes	
row_23	TOP2A	na	1707	0.26118770241737366	0.59482247	Yes	
row_24	STAG3	na	1846	0.24926500022411346	0.605372	Yes	
row_25	SGO2	na	2255	0.2219257950782776	0.5994929	No	
row_26	PTTG1	na	2583	0.20254936814308167	0.59655744	No	
row_27	TERF1	na	3123	0.17599770426750183	0.5803565	No	
row_28	HORMAD1	na	3129	0.17582300305366516	0.59274346	No	
row_29	NDC1	na	3356	0.16598382592201233	0.5925857	No	
row_30	BRIP1	na	3405	0.16352973878383636	0.6017848	No	
row_31	MCMDC2	na	3778	0.14909718930721283	0.592592	No	
row_32	ACTR3	na	4613	0.11856590956449509	0.5564575	No	
row_33	MRE11	na	4778	0.11365078389644623	0.5558538	No	
row_34	AGO4	na	5476	0.09167396277189255	0.52512133	No	
row_35	WAPL	na	5995	0.07718450576066971	0.5029331	No	
row_36	MUS81	na	6122	0.07368427515029907	0.50148803	No	
row_37	FANCM	na	6510	0.06341582536697388	0.485325	No	
row_38	RAD51C	na	6558	0.062375981360673904	0.4872972	No	
row_39	P3H4	na	6611	0.06116345524787903	0.48891434	No	
row_40	BAG6	na	6618	0.06103222444653511	0.49298576	No	
row_41	MAEL	na	7078	0.04976196959614754	0.47198376	No	
row_42	UBE2B	na	7169	0.047499801963567734	0.47058222	No	
row_43	DMC1	na	7176	0.04730837792158127	0.47366583	No	
row_44	ANKRD31	na	7909	0.030389895662665367	0.43664795	No	
row_45	ACTR2	na	8085	0.026387372985482216	0.42917433	No	
row_46	CCNE2	na	8445	0.018253644928336143	0.41126046	No	
row_47	ERCC4	na	9246	9.074339759536088E-4	0.36847857	No	
row_48	MEI1	na	9486	-0.0037220600061118603	0.35594586	No	
row_49	CENPC	na	9723	-0.008875067345798016	0.3439447	No	
row_50	TOP2B	na	9933	-0.013049301691353321	0.3336901	No	
row_51	SMC2	na	9983	-0.014007525518536568	0.3320739	No	
row_52	ATM	na	10125	-0.0167401023209095	0.32572693	No	
row_53	MAPK15	na	10361	-0.021152595058083534	0.314663	No	
row_54	NCAPH2	na	10501	-0.024331290274858475	0.30896953	No	
row_55	REC8	na	10756	-0.02923032082617283	0.29746938	No	
row_56	PPP2R1A	na	11158	-0.03785841166973114	0.27871707	No	
row_57	SHOC1	na	11471	-0.04428326338529587	0.2651939	No	
row_58	MLH3	na	12375	-0.06523103266954422	0.2215251	No	
row_59	SYCE3	na	12927	-0.07879174500703812	0.19768508	No	
row_60	SUN1	na	13463	-0.09232190251350403	0.17567582	No	
row_61	CENPS	na	13922	-0.10567991435527802	0.15875204	No	
row_62	M1AP	na	13974	-0.10707373172044754	0.16372709	No	
row_63	SLX4	na	14304	-0.11661136895418167	0.15449922	No	
row_64	EME2	na	14993	-0.13866834342479706	0.12763119	No	
row_65	CCNB1IP1	na	15130	-0.14287787675857544	0.1306307	No	
row_66	RMI1	na	16474	-0.19993965327739716	0.0730915	No	
row_67	CENPX	na	16725	-0.2150258719921112	0.075178094	No	
row_68	FMN2	na	16755	-0.216278538107872	0.08919139	No	
row_69	SYCE1L	na	17069	-0.23716723918914795	0.08949739	No	
