NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TRIM46	na	308	0.44354647397994995	0.0081632165	No	
row_1	NEURL1	na	750	0.35843557119369507	0.0044607837	No	
row_2	PSRC1	na	919	0.33833828568458557	0.0142767625	No	
row_3	PLK1	na	1226	0.3057837188243866	0.014882935	No	
row_4	KIF20A	na	1285	0.30033573508262634	0.028482178	No	
row_5	PRC1	na	3027	0.18032629787921906	-0.054826774	No	
row_6	MAPRE1	na	3234	0.1719496101140976	-0.05630495	No	
row_7	MAP2	na	3368	0.16556207835674286	-0.0542247	No	
row_8	SPAG16	na	4618	0.11848804354667664	-0.114596084	No	
row_9	MARK4	na	5047	0.10506244748830795	-0.13169765	No	
row_10	FES	na	5080	0.10406443476676941	-0.12762378	No	
row_11	CLASP1	na	5240	0.09954728186130524	-0.13061014	No	
row_12	SPAST	na	5667	0.08615826070308685	-0.1486562	No	
row_13	MAP1S	na	5924	0.07890305668115616	-0.15799159	No	
row_14	UBE2B	na	7169	0.047499801963567734	-0.22204426	No	
row_15	AAAS	na	7765	0.03372320160269737	-0.25206816	No	
row_16	DNAH1	na	8652	0.013872058130800724	-0.29879802	No	
row_17	MTCL1	na	9013	0.005707241129130125	-0.3177814	No	
row_18	ZNF207	na	9552	-0.005264609586447477	-0.34633258	No	
row_19	NCKAP5L	na	9659	-0.007600999902933836	-0.35159275	No	
row_20	TTLL3	na	9877	-0.011942964978516102	-0.36256245	No	
row_21	CCDC151	na	10248	-0.01911104843020439	-0.38133624	No	
row_22	RP1L1	na	10372	-0.02149774134159088	-0.38673472	No	
row_23	CDK5RAP2	na	10523	-0.024651851505041122	-0.39340526	No	
row_24	HYDIN	na	10687	-0.027891479432582855	-0.40059257	No	
row_25	NAV1	na	10957	-0.03337710350751877	-0.41315773	No	
row_26	NUMA1	na	11004	-0.034221917390823364	-0.41372004	No	
row_27	DNAAF5	na	11136	-0.0373816192150116	-0.41866374	No	
row_28	CCDC39	na	11444	-0.043738801032304764	-0.43268973	No	
row_29	GAS2L1	na	11722	-0.04964476451277733	-0.44477877	No	
row_30	NCKAP5	na	11775	-0.051206525415182114	-0.44471785	No	
row_31	SPAG17	na	12002	-0.056964077055454254	-0.45366538	No	
row_32	DCX	na	12256	-0.06246230751276016	-0.4637546	No	
row_33	TOGARAM1	na	12331	-0.0641140565276146	-0.46415508	No	
row_34	TPPP	na	13506	-0.09347689896821976	-0.5218969	No	
row_35	CCDC66	na	13643	-0.09763851761817932	-0.5237564	No	
