NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IFT57	na	8538	0.01632050611078739	-0.45254493	No	
row_1	E2F4	na	8618	0.014544214121997356	-0.4536275	No	
row_2	CCDC39	na	11444	-0.043738801032304764	-0.5950927	No	
row_3	CENPJ	na	12627	-0.07146561145782471	-0.64281464	No	
row_4	MKS1	na	13125	-0.0838472917675972	-0.6512758	No	
row_5	ATMIN	na	14033	-0.1088535487651825	-0.6762435	No	
row_6	RSPH9	na	16520	-0.20330370962619781	-0.7651813	Yes	
row_7	CFAP221	na	16695	-0.2132755070924759	-0.7284704	Yes	
row_8	INTU	na	17219	-0.24834959208965302	-0.70283586	Yes	
row_9	FOXJ1	na	17260	-0.2521994411945343	-0.65057105	Yes	
row_10	LRRC6	na	17356	-0.2601887285709381	-0.5995207	Yes	
row_11	CCDC40	na	17565	-0.27928125858306885	-0.550388	Yes	
row_12	BBS5	na	17591	-0.2826786935329437	-0.49074727	Yes	
row_13	CC2D2A	na	17615	-0.28507593274116516	-0.4304826	Yes	
row_14	MCIDAS	na	17626	-0.2866936922073364	-0.3691746	Yes	
row_15	SPATA6	na	18123	-0.34933391213417053	-0.3203147	Yes	
row_16	DNAAF3	na	18189	-0.36042484641075134	-0.24604015	Yes	
row_17	DNAAF1	na	18436	-0.4128030836582184	-0.17013547	Yes	
row_18	BBOF1	na	18470	-0.42257556319236755	-0.08074518	Yes	
row_19	ZMYND10	na	18522	-0.4409386217594147	0.011644676	Yes	
