NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SIX1	na	3141	0.17554546892642975	-0.112022124	No	
row_1	WNT2B	na	5245	0.09947096556425095	-0.19276246	No	
row_2	WNT3A	na	5725	0.08443918079137802	-0.19152589	No	
row_3	GATA5	na	8243	0.022942546755075455	-0.31869274	No	
row_4	FGF1	na	8784	0.010701102204620838	-0.34413943	No	
row_5	BMP2	na	10044	-0.015039351768791676	-0.4066161	No	
row_6	CTNNB1	na	10806	-0.030105100944638252	-0.43770418	No	
row_7	FGFR1	na	10944	-0.03313591331243515	-0.4344961	No	
row_8	HOXC11	na	11261	-0.03978809341788292	-0.4387368	No	
row_9	SPRY1	na	11450	-0.04389290139079094	-0.43483585	No	
row_10	FRS2	na	13152	-0.0846758782863617	-0.49880186	No	
row_11	DKK1	na	14137	-0.1119767501950264	-0.5157938	No	
row_12	GDNF	na	15607	-0.16032102704048157	-0.5433361	Yes	
row_13	FGF8	na	16336	-0.19355471432209015	-0.5207376	Yes	
row_14	WNT2	na	16531	-0.20380932092666626	-0.46635577	Yes	
row_15	ROBO1	na	16899	-0.22581450641155243	-0.41422495	Yes	
row_16	BMP4	na	16980	-0.23095375299453735	-0.3451303	Yes	
row_17	AR	na	17707	-0.29587528109550476	-0.28992027	Yes	
row_18	MESP1	na	17933	-0.3205189108848572	-0.2001188	Yes	
row_19	HOXA11	na	17938	-0.32099300622940063	-0.09836114	Yes	
row_20	ROBO2	na	18528	-0.44432124495506287	0.011324766	Yes	
