NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALOX15B	na	851	0.3457035422325134	0.03777301	No	
row_1	NCOA3	na	4494	0.12298902869224548	-0.12717666	No	
row_2	MED1	na	5308	0.09721646457910538	-0.14720172	No	
row_3	NOTCH1	na	10835	-0.03079899586737156	-0.43499434	No	
row_4	NUMA1	na	11004	-0.034221917390823364	-0.4357296	No	
row_5	MACROH2A1	na	11166	-0.03799762576818466	-0.4351818	No	
row_6	MACROH2A2	na	11834	-0.05257696285843849	-0.45815513	No	
row_7	NME2	na	11959	-0.05581819266080856	-0.45134008	No	
row_8	KDF1	na	12663	-0.07225020229816437	-0.4714999	No	
row_9	CYP27B1	na	12794	-0.07563458383083344	-0.4602342	No	
row_10	FOXC1	na	13159	-0.08477884531021118	-0.45926753	No	
row_11	PLAAT4	na	15091	-0.14168402552604675	-0.52831155	No	
row_12	TRIM16	na	16381	-0.19556450843811035	-0.55008614	Yes	
row_13	VDR	na	16946	-0.22868280112743378	-0.5251561	Yes	
row_14	BMP4	na	16980	-0.23095375299453735	-0.4713124	Yes	
row_15	SFRP4	na	17165	-0.24396292865276337	-0.4224032	Yes	
row_16	OVOL2	na	17390	-0.2625020742416382	-0.37116718	Yes	
row_17	PTCH2	na	17438	-0.26657623052597046	-0.30949458	Yes	
row_18	PRKCH	na	18168	-0.3566039800643921	-0.26257962	Yes	
row_19	SULT2B1	na	18232	-0.3668821156024933	-0.1776112	Yes	
row_20	SFN	na	18271	-0.37495434284210205	-0.08936369	Yes	
row_21	PTCH1	na	18595	-0.47499802708625793	0.0077461204	Yes	
