NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESPL1	na	75	0.5491422414779663	0.051551804	Yes	
row_1	TTK	na	127	0.5102046132087708	0.10044826	Yes	
row_2	SPDL1	na	255	0.45829764008522034	0.14002429	Yes	
row_3	BUB1	na	277	0.4511987864971161	0.18455592	Yes	
row_4	NDC80	na	425	0.41625460982322693	0.21880718	Yes	
row_5	TRIP13	na	438	0.4137066900730133	0.2600268	Yes	
row_6	CENPE	na	1158	0.31233829259872437	0.2531453	Yes	
row_7	USP44	na	1218	0.30627021193504333	0.28097793	Yes	
row_8	PLK1	na	1226	0.3057837188243866	0.31154475	Yes	
row_9	DLGAP5	na	1445	0.2843569219112396	0.32864913	Yes	
row_10	ANAPC1	na	1516	0.27779194712638855	0.3530113	Yes	
row_11	BUB1B	na	1616	0.2691003978252411	0.3749417	Yes	
row_12	CDC20	na	1656	0.2652123272418976	0.39969033	Yes	
row_13	GEN1	na	1860	0.24782557785511017	0.41390112	Yes	
row_14	CENPF	na	1937	0.24296823143959045	0.43441838	Yes	
row_15	AURKB	na	2102	0.23215104639530182	0.44913068	Yes	
row_16	TACC3	na	2306	0.21849876642227173	0.46037397	Yes	
row_17	FBXO5	na	2453	0.2100917547941208	0.47381762	Yes	
row_18	NSMCE2	na	2582	0.2027605026960373	0.48748294	Yes	
row_19	PTTG1	na	2583	0.20254936814308167	0.50797844	Yes	
row_20	RAD21	na	3201	0.17313125729560852	0.4924707	Yes	
row_21	MAD2L1	na	3468	0.16131877899169922	0.49455586	Yes	
row_22	TEX14	na	3643	0.15439411997795105	0.50086486	Yes	
row_23	CCNB1	na	3787	0.14889030158519745	0.5082763	Yes	
row_24	CSNK2A1	na	4133	0.1356099396944046	0.50353134	Yes	
row_25	XRCC3	na	4367	0.12683096528053284	0.50389314	Yes	
row_26	HECW2	na	4371	0.12669891119003296	0.5165529	Yes	
row_27	CDC23	na	4801	0.11302343755960464	0.5050262	No	
row_28	CDC6	na	4877	0.11071767657995224	0.5122149	No	
row_29	PCID2	na	5641	0.08722183853387833	0.48019922	No	
row_30	CDT1	na	7030	0.050912175327539444	0.4110548	No	
row_31	CDC27	na	7162	0.0476980023086071	0.40886912	No	
row_32	MAD2L2	na	7881	0.03096490167081356	0.37356967	No	
row_33	ZW10	na	8099	0.025979265570640564	0.364583	No	
row_34	TPR	na	8981	0.006549306213855743	0.318088	No	
row_35	ZNF207	na	9552	-0.005264609586447477	0.28811008	No	
row_36	DUSP1	na	9647	-0.007395423017442226	0.2838268	No	
row_37	CUL3	na	9772	-0.009911712259054184	0.27819234	No	
row_38	ATM	na	10125	-0.0167401023209095	0.26104456	No	
row_39	CSNK2A2	na	10214	-0.018542133271694183	0.2582104	No	
row_40	MAPK15	na	10361	-0.021152595058083534	0.25253576	No	
row_41	CDK5RAP2	na	10523	-0.024651851505041122	0.24641229	No	
row_42	APC	na	10761	-0.02932284027338028	0.2366934	No	
row_43	BUB3	na	10893	-0.03200463578104973	0.23291977	No	
row_44	NUMA1	na	11004	-0.034221917390823364	0.23049459	No	
row_45	LCMT1	na	11088	-0.036218006163835526	0.22971661	No	
row_46	PSMG2	na	11372	-0.0423567071557045	0.21885432	No	
row_47	ANAPC5	na	12427	-0.06617147475481033	0.1691321	No	
row_48	IK	na	12689	-0.07284962385892868	0.16253291	No	
row_49	ANAPC15	na	12721	-0.07372807711362839	0.16833393	No	
row_50	ANAPC11	na	12825	-0.0766528844833374	0.17057692	No	
row_51	MAD1L1	na	13466	-0.09239649027585983	0.14566872	No	
row_52	KLHL22	na	14013	-0.10829183459281921	0.1274005	No	
row_53	RIOK2	na	14251	-0.11532647162675858	0.12638411	No	
row_54	NEK6	na	14478	-0.12197054922580719	0.1266288	No	
row_55	DYNC1LI1	na	15968	-0.17604808509349823	0.06474029	No	
row_56	RB1	na	16921	-0.2267000377178192	0.036721375	No	
row_57	CDC26	na	17009	-0.23337139189243317	0.055678766	No	
row_58	ANAPC4	na	18217	-0.36490553617477417	0.027995022	No	
