NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CATSPER1	na	3920	0.14358341693878174	-0.16818093	No	
row_1	CCSAP	na	4252	0.1309426724910736	-0.14831702	No	
row_2	MKKS	na	7875	0.031100060790777206	-0.33283198	No	
row_3	CCDC39	na	11444	-0.043738801032304764	-0.51083964	No	
row_4	CFAP20	na	12309	-0.06363841146230698	-0.5387362	No	
row_5	TTLL6	na	15233	-0.14606428146362305	-0.6529616	Yes	
row_6	DRC1	na	15872	-0.17163629829883575	-0.63782614	Yes	
row_7	BBS2	na	15881	-0.17201922833919525	-0.5889361	Yes	
row_8	ARMC4	na	16690	-0.21292293071746826	-0.57104266	Yes	
row_9	CCDC65	na	17336	-0.25881028175354004	-0.5312886	Yes	
row_10	CFAP298	na	17448	-0.2673893868923187	-0.4605569	Yes	
row_11	CCDC40	na	17565	-0.27928125858306885	-0.38668287	Yes	
row_12	BBS4	na	18089	-0.3454243838787079	-0.31558147	Yes	
row_13	DNAH11	na	18335	-0.3890065550804138	-0.21713877	Yes	
row_14	DNAAF1	na	18436	-0.4128030836582184	-0.10413002	Yes	
row_15	GAS2L2	na	18458	-0.41964778304100037	0.015060039	Yes	
