NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALOX15B	na	851	0.3457035422325134	-0.008636335	No	
row_1	MYCL	na	1424	0.28565242886543274	-0.008752498	No	
row_2	MAFG	na	1501	0.2788192927837372	0.016945802	No	
row_3	HOXA7	na	2737	0.19492733478546143	-0.028336879	No	
row_4	EZH2	na	3235	0.1719430685043335	-0.03657845	No	
row_5	KEAP1	na	3376	0.16525188088417053	-0.02642913	No	
row_6	NCOA3	na	4494	0.12298902869224548	-0.07307674	No	
row_7	CTSL	na	5011	0.10607489198446274	-0.089366905	No	
row_8	MED1	na	5308	0.09721646457910538	-0.09482925	No	
row_9	KLF7	na	5407	0.09389044344425201	-0.09005048	No	
row_10	ROCK2	na	6634	0.06077514588832855	-0.149173	No	
row_11	ROCK1	na	6728	0.058469340205192566	-0.14790808	No	
row_12	GRHL1	na	7512	0.039165545254945755	-0.18562996	No	
row_13	SRSF6	na	7798	0.03306708484888077	-0.19735192	No	
row_14	ESRP1	na	8026	0.027686508372426033	-0.20654437	No	
row_15	KRT36	na	8364	0.020456811413168907	-0.22239538	No	
row_16	CTSK	na	8709	0.012594199739396572	-0.23946038	No	
row_17	MAFF	na	9353	-9.417132823728025E-4	-0.27377063	No	
row_18	ZFP36L1	na	9615	-0.0067573487758636475	-0.28701693	No	
row_19	HES1	na	9621	-0.006849360186606646	-0.2865533	No	
row_20	NOTCH1	na	10835	-0.03079899586737156	-0.34818023	No	
row_21	NUMA1	na	11004	-0.034221917390823364	-0.35351756	No	
row_22	MACROH2A1	na	11166	-0.03799762576818466	-0.35807717	No	
row_23	MACROH2A2	na	11834	-0.05257696285843849	-0.38815945	No	
row_24	NME2	na	11959	-0.05581819266080856	-0.38883653	No	
row_25	ZFP36	na	12073	-0.0581698939204216	-0.38867387	No	
row_26	CD109	na	12174	-0.060470301657915115	-0.38756993	No	
row_27	KDF1	na	12663	-0.07225020229816437	-0.40597263	No	
row_28	CYP27B1	na	12794	-0.07563458383083344	-0.4048553	No	
row_29	FOXC1	na	13159	-0.08477884531021118	-0.4152845	No	
row_30	DLL1	na	13762	-0.10112853348255157	-0.4367051	No	
row_31	SGPP1	na	14160	-0.11269103735685349	-0.44592056	No	
row_32	PLAAT4	na	15091	-0.14168402552604675	-0.4805649	No	
row_33	ERRFI1	na	15688	-0.16341052949428558	-0.49501544	Yes	
row_34	GDF3	na	15707	-0.16408619284629822	-0.47846162	Yes	
row_35	SERPINB13	na	15757	-0.166347935795784	-0.46332532	Yes	
row_36	TP63	na	16296	-0.19162341952323914	-0.47166008	Yes	
row_37	CBFB	na	16333	-0.19326508045196533	-0.45295453	Yes	
row_38	TRIM16	na	16381	-0.19556450843811035	-0.43459216	Yes	
row_39	GRHL2	na	16415	-0.19730763137340546	-0.4152945	Yes	
row_40	VDR	na	16946	-0.22868280112743378	-0.41924483	Yes	
row_41	BMP4	na	16980	-0.23095375299453735	-0.39635524	Yes	
row_42	HEY2	na	17071	-0.23720695078372955	-0.37584853	Yes	
row_43	SFRP4	na	17165	-0.24396292865276337	-0.35478112	Yes	
row_44	OVOL2	na	17390	-0.2625020742416382	-0.33874515	Yes	
row_45	PTCH2	na	17438	-0.26657623052597046	-0.3128019	Yes	
row_46	RUNX1	na	17608	-0.2844651937484741	-0.29147786	Yes	
row_47	AQP3	na	18163	-0.356184184551239	-0.28310105	Yes	
row_48	PRKCH	na	18168	-0.3566039800643921	-0.24524567	Yes	
row_49	SULT2B1	na	18232	-0.3668821156024933	-0.20945045	Yes	
row_50	SFN	na	18271	-0.37495434284210205	-0.17145559	Yes	
row_51	MSX2	na	18304	-0.3825538456439972	-0.13232836	Yes	
row_52	CTSV	na	18516	-0.43904542922973633	-0.096749686	Yes	
row_53	PTCH1	na	18595	-0.47499802708625793	-0.05021524	Yes	
row_54	HES5	na	18684	-0.5425618290901184	0.0029968487	Yes	
