NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESPL1	na	75	0.5491422414779663	0.016455008	Yes	
row_1	TTK	na	127	0.5102046132087708	0.032749772	Yes	
row_2	KIF18B	na	218	0.4722927212715149	0.045528367	Yes	
row_3	SMC1B	na	229	0.46581628918647766	0.06237535	Yes	
row_4	SPDL1	na	255	0.45829764008522034	0.07813357	Yes	
row_5	BUB1	na	277	0.4511987864971161	0.09384234	Yes	
row_6	KIF2C	na	412	0.41859015822410583	0.10224602	Yes	
row_7	NDC80	na	425	0.41625460982322693	0.11713546	Yes	
row_8	TRIP13	na	438	0.4137066900730133	0.13192979	Yes	
row_9	SMC4	na	610	0.38112667202949524	0.13694179	Yes	
row_10	NCAPH	na	645	0.37522268295288086	0.14911449	Yes	
row_11	KIF23	na	651	0.3742143511772156	0.162812	Yes	
row_12	CDCA5	na	654	0.37387916445732117	0.1766586	Yes	
row_13	DSN1	na	875	0.3434399664402008	0.17762406	Yes	
row_14	NCAPG	na	908	0.33996620774269104	0.18858863	Yes	
row_15	PSRC1	na	919	0.33833828568458557	0.20067774	Yes	
row_16	RMI2	na	922	0.338029146194458	0.21318631	Yes	
row_17	NUF2	na	949	0.33584436774253845	0.2243203	Yes	
row_18	KIFC1	na	950	0.3358439803123474	0.23685507	Yes	
row_19	CDCA8	na	990	0.33189424872398376	0.24714124	Yes	
row_20	SGO1	na	1038	0.3264634311199188	0.2567937	Yes	
row_21	CENPE	na	1158	0.31233829259872437	0.26203987	Yes	
row_22	USP44	na	1218	0.30627021193504333	0.27029216	Yes	
row_23	PLK1	na	1226	0.3057837188243866	0.28132784	Yes	
row_24	DLGAP5	na	1445	0.2843569219112396	0.2801959	Yes	
row_25	KIF4A	na	1475	0.2814808189868927	0.28913924	Yes	
row_26	DSCC1	na	1513	0.2779068052768707	0.29751816	Yes	
row_27	ANAPC1	na	1516	0.27779194712638855	0.3077785	Yes	
row_28	BUB1B	na	1616	0.2691003978252411	0.31248844	Yes	
row_29	CDC20	na	1656	0.2652123272418976	0.32028583	Yes	
row_30	TOP2A	na	1707	0.26118770241737366	0.32734036	Yes	
row_31	TENT4A	na	1750	0.2579898238182068	0.33470654	Yes	
row_32	STAG3	na	1846	0.24926500022411346	0.33889166	Yes	
row_33	GEN1	na	1860	0.24782557785511017	0.3474409	Yes	
row_34	KIF14	na	1861	0.24767132103443146	0.35668477	Yes	
row_35	CENPF	na	1937	0.24296823143959045	0.3617124	Yes	
row_36	INCENP	na	2015	0.2379264235496521	0.36644408	Yes	
row_37	STAG3L2	na	2037	0.23669084906578064	0.37414673	Yes	
row_38	SPAG5	na	2071	0.2348327487707138	0.38113353	Yes	
row_39	KIF18A	na	2072	0.23474854230880737	0.38989508	Yes	
row_40	AURKB	na	2102	0.23215104639530182	0.3969973	Yes	
row_41	RACGAP1	na	2147	0.22872516512870789	0.4031635	Yes	
row_42	SGO2	na	2255	0.2219257950782776	0.40568167	Yes	
