NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_MEIOTIC_CHROMOSOME_SEGREGATION	GO_MEIOTIC_CHROMOSOME_SEGREGATION	Details ...	70	0.605372	2.3324075	0.0	0.0	0.0	1846	tags=36%, list=10%, signal=39%	
GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	GO_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE	Details ...	49	0.6292091	2.2702088	0.0	3.9631044E-4	0.001	4037	tags=51%, list=22%, signal=65%	
GO_FEMALE_MEIOTIC_NUCLEAR_DIVISION	GO_FEMALE_MEIOTIC_NUCLEAR_DIVISION	Details ...	27	0.71901256	2.2602205	0.0	2.6420696E-4	0.001	1707	tags=48%, list=9%, signal=53%	
GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION	GO_HOMOLOGOUS_CHROMOSOME_SEGREGATION	Details ...	40	0.631071	2.1951413	0.0	0.0010052754	0.005	3405	tags=50%, list=18%, signal=61%	
GO_CHROMOSOME_SEGREGATION	GO_CHROMOSOME_SEGREGATION	Details ...	297	0.45015737	2.1303947	0.0	0.0032387818	0.02	3787	tags=33%, list=20%, signal=41%	
GO_MEIOTIC_CELL_CYCLE_PROCESS	GO_MEIOTIC_CELL_CYCLE_PROCESS	Details ...	151	0.48920697	2.1174414	0.0	0.003643	0.027	2583	tags=33%, list=14%, signal=38%	
GO_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	GO_NEGATIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	Details ...	36	0.62447137	2.1091166	0.0	0.003932058	0.034	3787	tags=47%, list=20%, signal=59%	
GO_NUCLEAR_CHROMOSOME_SEGREGATION	GO_NUCLEAR_CHROMOSOME_SEGREGATION	Details ...	239	0.4587284	2.1021285	0.0	0.0036403155	0.036	3787	tags=34%, list=20%, signal=42%	
GO_CELL_CYCLE_DNA_REPLICATION	GO_CELL_CYCLE_DNA_REPLICATION	Details ...	63	0.5566708	2.091529	0.0	0.0045898394	0.051	4643	tags=52%, list=25%, signal=69%	
GO_SYNAPSIS	GO_SYNAPSIS	Details ...	32	0.635395	2.0802267	0.0	0.0049373577	0.061	1846	tags=41%, list=10%, signal=45%	
