NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	IRF5	na	318	0.22612307965755463	0.016531404	No	
row_1	TRIM31	na	949	0.1673625111579895	0.0068049077	No	
row_2	CAMK2B	na	1143	0.15736369788646698	0.019884538	No	
row_3	IRF8	na	1951	0.12431289255619049	-0.006208735	No	
row_4	VCAM1	na	3103	0.09122004359960556	-0.056455396	No	
row_5	MID1	na	3809	0.0754755288362503	-0.0842648	No	
row_6	CAMK2G	na	5352	0.04855789616703987	-0.16272898	No	
row_7	HLA-DQA2	na	6007	0.038276612758636475	-0.19333102	No	
row_8	HPX	na	6256	0.03489543870091438	-0.2018504	No	
row_9	TRIM68	na	6577	0.030856439843773842	-0.21498807	No	
row_10	CAMK2A	na	6604	0.03048056736588478	-0.21182112	No	
row_11	HSP90AB1	na	6665	0.02968670055270195	-0.2106665	No	
row_12	HLA-DQB2	na	6704	0.02929924614727497	-0.20834617	No	
row_13	IRF6	na	7046	0.024975819513201714	-0.22354268	No	
row_14	PRKCD	na	7218	0.022773470729589462	-0.22961181	No	
row_15	NCAM1	na	7718	0.01637449488043785	-0.25490323	No	
row_16	PPARG	na	7941	0.013930740766227245	-0.26514915	No	
row_17	FCGR1A	na	8382	0.008679215796291828	-0.28832197	No	
row_18	IRF3	na	8426	0.008307491429150105	-0.28945747	No	
row_19	NR1H3	na	9084	0.0013997206697240472	-0.32580855	No	
row_20	TRIM26	na	9429	-0.00224418006837368	-0.34461293	No	
row_21	TP53	na	9794	-0.00608593737706542	-0.3639488	No	
row_22	OASL	na	10305	-0.011157928965985775	-0.39064202	No	
row_23	IRF9	na	10652	-0.014902668073773384	-0.40764156	No	
row_24	OAS1	na	10674	-0.015031165443360806	-0.40653497	No	
row_25	NR1H2	na	10698	-0.015269492752850056	-0.40550357	No	
row_26	CDC37	na	10823	-0.016432669013738632	-0.4099169	No	
row_27	FCGR1B	na	11263	-0.020755231380462646	-0.43120614	No	
row_28	HLA-DPA1	na	11741	-0.026042349636554718	-0.4538098	No	
row_29	HLA-E	na	11932	-0.028404835611581802	-0.46008387	No	
row_30	MED1	na	11974	-0.0290798619389534	-0.45796373	No	
row_31	JAK1	na	12346	-0.03350028023123741	-0.4735394	No	
row_32	TRIM62	na	12510	-0.03527204692363739	-0.4772714	No	
row_33	CD44	na	12901	-0.0398697592318058	-0.49294034	No	
row_34	TRIM8	na	12940	-0.04035385698080063	-0.48894665	No	
row_35	IFNGR2	na	13181	-0.043741606175899506	-0.49568176	No	
row_36	TRIM25	na	13201	-0.044029202312231064	-0.4900744	No	
row_37	IRF7	na	13223	-0.044314734637737274	-0.4845351	No	
row_38	PIAS1	na	13432	-0.04718685522675514	-0.48896784	No	
row_39	IFI30	na	13648	-0.0499839149415493	-0.49336675	No	
row_40	TRIM38	na	13741	-0.05141918733716011	-0.4907033	No	
row_41	NLRC5	na	13772	-0.051930468529462814	-0.48451206	No	
row_42	HLA-F	na	13845	-0.053053416311740875	-0.48048818	No	
row_43	SUMO1	na	13981	-0.05495394021272659	-0.47968268	No	
row_44	IRF4	na	14520	-0.0630868598818779	-0.5000736	Yes	
row_45	HCK	na	14585	-0.06392247974872589	-0.49395925	Yes	
row_46	B2M	na	14638	-0.06472599506378174	-0.48705548	Yes	
row_47	SOCS3	na	14776	-0.06696544587612152	-0.48454306	Yes	
row_48	PTPN2	na	14987	-0.07134634256362915	-0.48543006	Yes	
row_49	HLA-DPB1	na	15134	-0.07403092831373215	-0.482349	Yes	
row_50	PTAFR	na	15399	-0.07954839617013931	-0.48499963	Yes	
row_51	SP100	na	15817	-0.08939108997583389	-0.494675	Yes	
row_52	IFNGR1	na	15847	-0.09003893285989761	-0.4826596	Yes	
row_53	IRF2	na	15852	-0.0901307538151741	-0.469239	Yes	
row_54	TRIM34	na	15947	-0.09236990660429001	-0.46048808	Yes	
row_55	HLA-DRA	na	16062	-0.09529604762792587	-0.45240724	Yes	
row_56	HLA-DRB5	na	16066	-0.0954573005437851	-0.4381247	Yes	
row_57	HLA-DQA1	na	16195	-0.09864494204521179	-0.43031606	Yes	
row_58	PML	na	16252	-0.10042528808116913	-0.41823104	Yes	
